         1457927 function calls (1423228 primitive calls) in 1.148 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      193    0.001    0.000    0.026    0.000 _metadata_requests.py:1424(__init_subclass__)
      398    0.003    0.000    0.026    0.000 _util.py:511(getfullargspec_no_self)
     1929    0.001    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        1    0.000    0.000    0.025    0.025 _arraypad_impl.py:1(<module>)
     2086    0.001    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
     4650    0.011    0.000    0.025    0.000 _docscrape.py:67(read_to_condition)
        1    0.000    0.000    0.025    0.025 multiarray.py:1(<module>)
        1    0.000    0.000    0.025    0.025 _index_tricks_impl.py:1(<module>)
     1909    0.006    0.000    0.024    0.000 _metadata_requests.py:1458(_get_class_level_metadata_request_values)
6549/6296    0.007    0.000    0.024    0.000 {built-in method __new__ of type object at 0xa43b40}
     1204    0.024    0.000    0.024    0.000 {built-in method _io.open_code}
       23    0.000    0.000    0.024    0.001 _support_alternative_backends.py:46(wrapper)
     3367    0.003    0.000    0.024    0.000 _docscrape.py:77(read_to_next_empty_line)
     2622    0.007    0.000    0.023    0.000 <frozen importlib._bootstrap>:304(acquire)
     3583    0.011    0.000    0.022    0.000 _docscrape.py:168(_is_at_section)
        1    0.000    0.000    0.022    0.022 defmatrix.py:1(<module>)
        3    0.000    0.000    0.022    0.007 _linalg.py:1(<module>)
        2    0.000    0.000    0.021    0.011 array.py:1(<module>)
      357    0.001    0.000    0.021    0.000 <frozen abc>:105(__new__)
        1    0.000    0.000    0.021    0.021 _cloudpickle_wrapper.py:1(<module>)
      328    0.010    0.000    0.020    0.000 inspect.py:875(cleandoc)
     1513    0.001    0.000    0.020    0.000 <frozen importlib._bootstrap>:416(__enter__)
      154    0.000    0.000    0.020    0.000 _parser.py:969(parse)
  613/481    0.001    0.000    0.020    0.000 typing.py:392(inner)
      217    0.004    0.000    0.019    0.000 inspect.py:856(getdoc)
  635/154    0.001    0.000    0.019    0.000 _parser.py:452(_parse_sub)
  818/157    0.007    0.000    0.019    0.000 _parser.py:512(_parse)
     4465    0.018    0.000    0.019    0.000 {method 'sub' of 're.Pattern' objects}
        2    0.000    0.000    0.018    0.009 _unsupervised.py:1(<module>)
       24    0.000    0.000    0.018    0.001 _util.py:277(decorator)
      131    0.001    0.000    0.018    0.000 _distn_infrastructure.py:749(_construct_argparser)
        1    0.000    0.000    0.018    0.018 pairwise.py:1(<module>)
        1    0.000    0.000    0.017    0.017 _distn_infrastructure.py:1(<module>)
     1857    0.001    0.000    0.017    0.000 _docscrape.py:573(dedent_lines)
     1448    0.003    0.000    0.017    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
        7    0.000    0.000    0.017    0.002 _typing.py:1(<module>)
      154    0.000    0.000    0.017    0.000 _compiler.py:573(_code)
 8349/217    0.007    0.000    0.017    0.000 copy.py:118(deepcopy)
        2    0.000    0.000    0.017    0.008 indexing.py:1(<module>)
       40    0.000    0.000    0.017    0.000 dataclasses.py:1257(wrap)
       40    0.001    0.000    0.017    0.000 dataclasses.py:921(_process_class)
        2    0.000    0.000    0.017    0.008 config.py:1(<module>)
  442/217    0.004    0.000    0.016    0.000 copy.py:217(_deepcopy_dict)
        1    0.000    0.000    0.016    0.016 _new_distributions.py:1(<module>)
     2592    0.016    0.000    0.016    0.000 {method 'findall' of 're.Pattern' objects}
        3    0.000    0.000    0.016    0.005 _distribution_infrastructure.py:1317(_combine_docs)
      216    0.001    0.000    0.016    0.000 _docscrape.py:366(_parse_summary)
