<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	01:00:00	985.87	993.44	985.87	992.56	518	0	200
2024.01.02	02:00:00	992.56	995.19	991.54	993.14	476	0	200
2024.01.02	03:00:00	993.24	994.14	986.44	987.44	611	0	200
2024.01.02	04:00:00	987.44	987.74	985.04	985.84	390	0	253
2024.01.02	05:00:00	985.84	989.84	985.84	987.48	356	0	299
2024.01.02	06:00:00	987.57	989.54	986.95	989.44	303	0	312
2024.01.02	07:00:00	989.54	991.04	989.04	990.64	315	0	264
2024.01.02	08:00:00	990.64	990.94	987.64	988.14	294	0	269
2024.01.02	09:00:00	988.04	992.14	987.74	988.64	369	0	265
2024.01.02	10:00:00	988.64	994.54	988.34	993.14	479	0	273
2024.01.02	11:00:00	993.14	995.54	993.14	994.44	435	0	201
2024.01.02	12:00:00	994.34	1001.74	992.74	1001.04	541	0	245
2024.01.02	13:00:00	1001.04	1001.74	991.84	993.64	548	0	238
2024.01.02	14:00:00	993.84	994.14	988.74	989.14	537	0	260
2024.01.02	15:00:00	989.34	991.74	981.14	986.24	1207	0	200
2024.01.02	16:00:00	986.24	991.14	983.70	990.64	1367	0	243
2024.01.02	17:00:00	990.64	991.64	984.64	987.24	1234	0	335
2024.01.02	18:00:00	987.24	995.04	986.94	994.24	910	0	302
2024.01.02	19:00:00	994.24	995.04	986.04	987.04	778	0	321
2024.01.02	20:00:00	986.94	988.24	984.44	985.34	427	0	302
2024.01.02	21:00:00	985.34	986.14	983.64	984.14	314	0	302
2024.01.02	22:00:00	984.24	984.44	983.24	984.34	268	0	302
2024.01.02	23:00:00	984.54	985.24	981.24	984.55	156	0	302
2024.01.03	01:00:00	980.89	986.34	980.61	985.64	224	0	323
2024.01.03	02:00:00	985.74	987.24	984.54	985.04	212	0	318
2024.01.03	03:00:00	985.14	986.24	982.94	984.74	489	0	242
2024.01.03	04:00:00	984.94	986.44	982.94	986.44	329	0	302
2024.01.03	05:00:00	986.44	987.84	985.54	987.14	290	0	302
2024.01.03	06:00:00	987.14	987.34	984.64	984.84	198	0	292
2024.01.03	07:00:00	984.84	986.54	983.64	984.54	329	0	302
2024.01.03	08:00:00	984.54	988.22	983.74	987.79	388	0	299
2024.01.03	09:00:00	987.88	987.96	984.14	985.34	372	0	321
2024.01.03	10:00:00	985.24	986.94	981.04	981.64	424	0	332
2024.01.03	11:00:00	981.64	982.14	976.04	977.14	591	0	276
2024.01.03	12:00:00	977.14	977.64	975.34	975.34	426	0	254
2024.01.03	13:00:00	975.54	975.84	971.34	971.84	494	0	308
