trade_id,symbol,direction,entry_time,entry_price,lots,exit_time,exit_price,holding_hours,holding_bars,spread_cost,commission,slippage,gap_slippage,swap_cost,total_cost,gross_pnl,net_pnl,mfe,mae,time_to_mfe,time_to_mae,mfe_efficiency,mae_efficiency,stop_efficiency,r_multiple,initial_stop,final_stop,stop_adjustments,energy_at_entry,regime_at_entry,energy_at_exit,regime_at_exit,pe_at_entry,forward_release_5,forward_release_10,pe_recovery_efficiency,pe_exploitation,avg_energy,max_energy,avg_damping,max_jerk,avg_buying_pressure,energy_trend,regime_changes,flow_consistency,time_to_max_energy
1,XAUUSD,long,2024-01-04T19:00:00,2044.84,0.1,2024-01-04T20:00:00,2043.18,1.0,1,0.7000000000000001,0.0,0.1,0.0,0.0,0.8,-16.599999999998545,-17.399999999998546,0.20000000000004547,3.9700000000000273,1,1,0.0,0.0,0.0,-0.41813602015109397,2042.3771428571429,2042.3771428571429,0,0.05119999999997963,overdamped,1.0952000000000268,overdamped,0.550651203602349,0.0019024237563333105,0.0019024237563333105,-0.42671852340445154,-0.14742534854756056,1.0952000000000268,1.0952000000000268,1.4808940032683076,0.0,0.5779376498801054,0.0,0,1.0,1
2,XAUUSD,short,2024-01-24T21:00:00,2015.08,0.1,2024-01-25T10:00:00,2015.87,13.0,12,0.7000000000000001,0.0,0.1,0.0,23.955,24.755,-7.899999999999636,-32.65499999999963,3.8799999999998818,3.1700000000000728,1,12,0.0,0.18298969072160587,1.0,-0.24921135646685977,2021.857142857143,2017.1242857142856,10,8.694450000000304,overdamped,0.0008000000000076398,overdamped,0.0,0.0019254818667248357,0.0019254818667248357,-0.20360824742267725,0.0,0.8373166666666819,4.089799999999713,1.565165121413122,0.0,0.47292455098370234,-0.9998043914127811,0,1.0,1
3,XAUUSD,long,2024-02-01T22:00:00,2054.87,0.1,2024-02-02T05:00:00,2053.85,7.0,6,0.7000000000000001,0.0,0.1,0.0,-6.809000000000001,7.609000000000001,-10.199999999999818,-17.80899999999982,1.9900000000002365,2.9099999999998545,4,6,0.0,0.0,0.8248384781047288,-0.3505154639175371,2051.174285714286,2052.8157142857144,5,0.35279999999974027,critical,0.387200000000096,overdamped,0.5788768608799413,0.0009635599159075071,0.0014210075527525076,-0.5151540221301186,-0.08574911173484623,0.17439166666664693,0.387200000000096,1.472572648487973,0.0,0.5060571788782318,0.6747404844302873,1,1.0,6
4,XAUUSD,short,2024-02-02T19:00:00,2036.29,0.1,2024-02-02T21:00:00,2037.46,2.0,2,0.7000000000000001,0.0,0.1,0.0,0.0,0.8,-11.700000000000728,-12.500000000000728,2.2999999999999545,2.4400000000000546,1,2,0.0,0.0,0.0,-0.47950819672133055,2038.2628571428572,2038.2628571428572,0,0.7442000000000333,overdamped,2.289800000000214,overdamped,0.2632249233037755,0.0017188205944172706,0.002902351346573203,-0.3342840726447395,-0.21828265395080693,1.3999250000001024,2.289800000000214,2.6688801858415863,0.0,0.5584321577083038,3.489363787864436,0,1.0,2
5,XAUUSD,short,2024-02-13T19:00:00,1994.96,0.1,2024-02-14T12:00:00,1991.23,17.0,16,0.7000000000000001,0.0,0.1,0.0,4.7909999999999995,5.590999999999999,37.30000000000018,31.70900000000018,9.0,1.0699999999999363,15,1,0.41444444444444645,0.8811111111111182,1.0,3.4859813084114393,2001.2057142857143,1990.94,10,3.537800000000218,overdamped,3.6992000000000744,overdamped,0.0,0.0018246345718124536,0.0030076394040863793,1.024704728443126,0.0,0.8493843749999958,4.089799999999713,2.164312602701825,0.0,0.5064328174657207,4.0532067481727365,0,1.0,14
6,XAUUSD,short,2024-02-21T20:00:00,2024.35,0.1,2024-02-21T23:00:00,2024.38,3.0,3,0.7000000000000001,0.0,0.1,0.0,0.0,0.8,-0.3000000000020009,-1.100000000002001,4.279999999999973,2.660000000000082,2,3,0.0,0.37850467289717316,0.21762349799733055,-0.011278195488796678,2027.522857142857,2026.5914285714284,1,0.03644999999999509,critical,1.344800000000164,overdamped,0.0,0.0020600324072244758,0.002316918942417922,-0.007193853680410306,0.0,3.9795500000000357,8.040049999999964,1.2362418373959752,0.0,0.37305889602337783,-0.4734121700993911,2,1.0,2
7,XAUUSD,long,2024-02-23T21:00:00,2040.41,0.1,2024-02-26T02:00:00,2034.02,53.0,4,0.7000000000000001,0.0,0.1,2.297454315799081,-6.809000000000001,9.906454315799081,-63.900000000001,-73.80645431580008,0.07999999999992724,7.3900000000001,1,4,0.0,0.0,1.0,-0.8646820027063618,2032.2571428571428,2033.11,3,3.200449999999931,critical,1.1400499999999862,critical,0.14662630692097375,0.005136096762494741,0.005150799329562937,-0.6097477658565263,-2.135853784984158,1.7220375000000656,4.8984500000003415,1.26255297378393,0.0,0.3402672091869063,-0.7672631138421527,2,1.0,1
8,XAUUSD,long,2024-03-06T22:00:00,2144.36,0.1,2024-03-07T17:00:00,2154.01,19.0,18,0.7000000000000001,0.0,0.1,0.0,-34.045,34.845,96.50000000000091,61.65500000000091,20.389999999999873,1.150000000000091,17,1,0.47327121137813394,0.9435998038253998,0.8420794507111418,8.391304347825502,2137.637142857143,2154.807142857143,11,3.864199999999292,underdamped,15.67999999999949,underdamped,0.0,0.0031523675399407593,0.007918224974585211,1.4275547353007354,0.0,4.0260777777777,21.25519999999988,1.1571278682173678,0.0,0.5876898996747291,5.194567901234366,5,1.0,8
9,XAUUSD,short,2024-03-15T22:00:00,2159.32,0.1,2024-03-18T12:00:00,2153.54,62.0,13,0.7000000000000001,0.0,0.1,0.0,4.7909999999999995,5.590999999999999,57.800000000002,52.209000000002,13.210000000000036,0.13999999999987267,8,1,0.43754731264195185,0.9894019682059143,0.9076457229371497,41.285714285753265,2165.2742857142857,2153.284285714286,12,3.0258000000000895,critical,0.897800000000195,overdamped,0.13715309756028413,0.0032510836945648463,0.0060992553073246965,0.8233465711190486,1.9516647162594853,2.6807923076924,9.548449999999523,1.1632078645503214,0.0,0.5135157438714704,-0.6908455432929995,4,1.0,6
10,XAUUSD,long,2024-04-05T21:00:00,2326.28,0.1,2024-04-08T02:00:00,2307.6,53.0,4,0.7000000000000001,0.0,0.1,0.0,-6.809000000000001,7.609000000000001,-186.8000000000029,-194.40900000000292,3.7199999999998,22.15000000000009,3,4,0.0,0.0,0.013824884792597435,-0.8433408577878201,2310.4728571428573,2310.5242857142857,1,0.5618000000004242,critical,234.36125000000197,overdamped,0.5524899392033018,0.009496092373034233,0.011989407708643348,-0.8456096967285218,-1.453417921645209,63.8124625000003,234.36125000000197,1.4506838592737523,0.0,0.4863687635583585,577.6697530868925,1,1.0,4
11,XAUUSD,short,2024-04-10T06:00:00,2352.22,0.1,2024-04-10T07:00:00,2351.37,1.0,1,0.7000000000000001,0.0,0.1,0.0,0.0,0.8,8.49999999999909,7.699999999999091,1.5199999999999818,1.3600000000001273,1,1,0.5592105263157363,0.10526315789464236,0.0,0.6249999999998747,2353.168571428572,2353.168571428572,0,3.6450000000007368,critical,0.28125,critical,0.28441852328261696,0.0033884181571595955,0.010305552839341463,0.10664585665392648,0.12705246933334652,0.28125,0.28125,1.2828419514789944,0.0,0.23611111111120323,0.0,0,1.0,1
