trade_num,entry_time,pnl_R,equity_correct,equity_buggy
1,2025-11-30 00:10:00+00:00,-0.0,1000.0,1000.0
2,2025-11-30 00:36:00+00:00,-1.0000000000002274,995.9999999999991,999.5999999999999
3,2025-11-30 00:46:00+00:00,-0.0,995.9999999999991,999.5999999999999
4,2025-11-30 01:18:00+00:00,-1.0000000000002274,991.9999999999982,999.1999999999998
5,2025-11-30 01:43:00+00:00,-1.0000000000002274,987.9999999999973,998.7999999999997
6,2025-11-30 01:56:00+00:00,-1.0000000000002274,983.9999999999964,998.3999999999996
7,2025-11-30 02:15:00+00:00,-0.0,983.9999999999964,998.3999999999996
8,2025-11-30 02:39:00+00:00,-1.0000000000002274,979.9999999999955,997.9999999999995
9,2025-11-30 03:40:00+00:00,4.0000000000009095,995.9999999999991,999.5999999999999
10,2025-11-30 04:39:00+00:00,2.0000000000004547,1004.0000000000009,1000.4000000000001
11,2025-11-30 05:14:00+00:00,-1.0000000000002274,1000.0,1000.0
12,2025-11-30 05:38:00+00:00,6.000000000001364,1024.0000000000055,1002.4000000000005
13,2025-11-30 06:25:00+00:00,4.0000000000009095,1040.000000000009,1004.0000000000009
14,2025-11-30 06:58:00+00:00,3.000000000000682,1052.0000000000118,1005.2000000000012
15,2025-11-30 07:47:00+00:00,-0.0,1052.0000000000118,1005.2000000000012
16,2025-11-30 07:58:00+00:00,-1.0000000000002274,1048.000000000011,1004.8000000000011
17,2025-11-30 08:07:00+00:00,-0.0,1048.000000000011,1004.8000000000011
18,2025-11-30 08:17:00+00:00,-1.0000000000002274,1044.00000000001,1004.400000000001
19,2025-11-30 08:40:00+00:00,-1.0000000000002274,1040.000000000009,1004.0000000000009
20,2025-11-30 08:51:00+00:00,4.0000000000009095,1056.0000000000127,1005.6000000000013
21,2025-11-30 09:11:00+00:00,-0.0,1056.0000000000127,1005.6000000000013
22,2025-11-30 09:21:00+00:00,3.000000000000682,1068.0000000000155,1006.8000000000015
23,2025-11-30 09:32:00+00:00,2.0000000000004547,1076.0000000000173,1007.6000000000017
24,2025-11-30 09:48:00+00:00,4.0000000000009095,1092.000000000021,1009.2000000000021
25,2025-11-30 09:55:00+00:00,-1.0000000000002274,1088.00000000002,1008.800000000002
26,2025-11-30 10:09:00+00:00,2.0000000000004547,1096.0000000000218,1009.6000000000022
27,2025-11-30 10:21:00+00:00,1.0000000000002274,1100.0000000000227,1010.0000000000023
28,2025-11-30 10:36:00+00:00,-1.0000000000002274,1096.0000000000218,1009.6000000000022
29,2025-11-30 10:45:00+00:00,-1.0000000000002274,1092.000000000021,1009.2000000000021
30,2025-11-30 10:53:00+00:00,1.0000000000002274,1096.0000000000218,1009.6000000000022
31,2025-11-30 11:00:00+00:00,-0.0,1096.0000000000218,1009.6000000000022
32,2025-11-30 11:14:00+00:00,2.0000000000004547,1104.0000000000236,1010.4000000000024
33,2025-11-30 11:41:00+00:00,5.000000000001137,1124.0000000000282,1012.4000000000028
34,2025-11-30 11:59:00+00:00,-1.0000000000002274,1120.0000000000273,1012.0000000000027
35,2025-11-30 12:03:00+00:00,1.0000000000002274,1124.0000000000282,1012.4000000000028
36,2025-11-30 12:17:00+00:00,-1.0000000000002274,1120.0000000000273,1012.0000000000027
37,2025-11-30 12:23:00+00:00,7.000000000001592,1148.0000000000337,1014.8000000000034
38,2025-11-30 12:38:00+00:00,-0.0,1148.0000000000337,1014.8000000000034
39,2025-11-30 12:42:00+00:00,2.0000000000004547,1156.0000000000355,1015.6000000000035
40,2025-11-30 12:56:00+00:00,-1.0000000000002274,1152.0000000000346,1015.2000000000035
41,2025-11-30 13:00:00+00:00,1.0000000000002274,1156.0000000000355,1015.6000000000035
42,2025-11-30 13:03:00+00:00,-0.0,1156.0000000000355,1015.6000000000035
43,2025-11-30 13:10:00+00:00,1.0000000000002274,1160.0000000000364,1016.0000000000036
44,2025-11-30 13:16:00+00:00,4.0000000000009095,1176.00000000004,1017.600000000004
45,2025-11-30 13:22:00+00:00,1.0000000000002274,1180.000000000041,1018.0000000000041
46,2025-11-30 13:34:00+00:00,2.0000000000004547,1188.0000000000427,1018.8000000000043
47,2025-11-30 13:44:00+00:00,-0.0,1188.0000000000427,1018.8000000000043
48,2025-11-30 13:55:00+00:00,4.0000000000009095,1204.0000000000464,1020.4000000000046
49,2025-11-30 14:14:00+00:00,-0.0,1204.0000000000464,1020.4000000000046
50,2025-11-30 14:17:00+00:00,1.0000000000002274,1208.0000000000473,1020.8000000000047
51,2025-11-30 14:24:00+00:00,-0.0,1208.0000000000473,1020.8000000000047
52,2025-11-30 14:34:00+00:00,3.000000000000682,1220.00000000005,1022.000000000005
53,2025-11-30 14:42:00+00:00,-1.0000000000002274,1216.000000000049,1021.6000000000049
54,2025-11-30 14:55:00+00:00,-0.0,1216.000000000049,1021.6000000000049
55,2025-11-30 15:04:00+00:00,-0.0,1216.000000000049,1021.6000000000049
56,2025-11-30 15:11:00+00:00,4.0000000000009095,1232.0000000000528,1023.2000000000053
57,2025-11-30 15:27:00+00:00,-1.0000000000002274,1228.0000000000518,1022.8000000000052
58,2025-11-30 15:36:00+00:00,-0.0,1228.0000000000518,1022.8000000000052
59,2025-11-30 15:41:00+00:00,4.0000000000009095,1244.0000000000555,1024.4000000000055
60,2025-11-30 15:52:00+00:00,-1.0000000000002274,1240.0000000000546,1024.0000000000055
61,2025-11-30 15:54:00+00:00,3.000000000000682,1252.0000000000573,1025.2000000000057
62,2025-11-30 16:03:00+00:00,-1.0000000000002274,1248.0000000000564,1024.8000000000056
63,2025-11-30 16:12:00+00:00,-1.0000000000002274,1244.0000000000555,1024.4000000000055
64,2025-11-30 16:15:00+00:00,2.0000000000004547,1252.0000000000573,1025.2000000000057
65,2025-11-30 16:21:00+00:00,-0.0,1252.0000000000573,1025.2000000000057
66,2025-11-30 16:24:00+00:00,-0.0,1252.0000000000573,1025.2000000000057
67,2025-11-30 16:27:00+00:00,-1.0000000000002274,1248.0000000000564,1024.8000000000056
68,2025-11-30 16:34:00+00:00,3.000000000000682,1260.0000000000591,1026.000000000006
69,2025-11-30 16:42:00+00:00,-1.0000000000002274,1256.0000000000582,1025.6000000000058
70,2025-11-30 16:45:00+00:00,-1.0000000000002274,1252.0000000000573,1025.2000000000057
71,2025-11-30 16:47:00+00:00,5.000000000001137,1272.0000000000618,1027.2000000000062
72,2025-11-30 17:31:00+00:00,1.0000000000002274,1276.0000000000628,1027.6000000000063
73,2025-11-30 18:01:00+00:00,6.000000000001364,1300.0000000000682,1030.0000000000068
74,2025-11-30 19:36:00+00:00,-1.0000000000002274,1296.0000000000673,1029.6000000000067
75,2025-11-30 19:49:00+00:00,15.00000000000341,1356.000000000081,1035.600000000008
76,2025-11-30 20:40:00+00:00,-0.0,1356.000000000081,1035.600000000008
77,2025-11-30 21:03:00+00:00,1.0000000000002274,1360.0000000000819,1036.0000000000082
78,2025-11-30 21:27:00+00:00,-1.0000000000002274,1356.000000000081,1035.600000000008
79,2025-11-30 21:49:00+00:00,-0.0,1356.000000000081,1035.600000000008
80,2025-11-30 22:36:00+00:00,-0.0,1356.000000000081,1035.600000000008
81,2025-11-30 23:09:00+00:00,4.0000000000009095,1372.0000000000846,1037.2000000000085
82,2025-11-30 23:45:00+00:00,-0.0,1372.0000000000846,1037.2000000000085
83,2025-12-01 01:24:00+00:00,-1.0000000000002274,1368.0000000000837,1036.8000000000084
84,2025-12-01 01:40:00+00:00,-0.0,1368.0000000000837,1036.8000000000084
85,2025-12-01 02:05:00+00:00,2.0000000000004547,1376.0000000000855,1037.6000000000085
86,2025-12-01 02:25:00+00:00,-0.0,1376.0000000000855,1037.6000000000085
87,2025-12-01 02:45:00+00:00,-1.0000000000002274,1372.0000000000846,1037.2000000000085
88,2025-12-01 03:24:00+00:00,-1.0000000000002274,1368.0000000000837,1036.8000000000084
89,2025-12-01 03:33:00+00:00,-0.0,1368.0000000000837,1036.8000000000084
90,2025-12-01 03:59:00+00:00,1.0000000000002274,1372.0000000000846,1037.2000000000085
91,2025-12-01 04:35:00+00:00,3.000000000000682,1384.0000000000873,1038.4000000000087
92,2025-12-01 05:02:00+00:00,-1.0000000000002274,1380.0000000000864,1038.0000000000086
93,2025-12-01 05:30:00+00:00,-0.0,1380.0000000000864,1038.0000000000086
94,2025-12-01 06:22:00+00:00,2.0000000000004547,1388.0000000000882,1038.8000000000088
95,2025-12-01 06:58:00+00:00,1.0000000000002274,1392.0000000000891,1039.200000000009
96,2025-12-01 07:31:00+00:00,-0.0,1392.0000000000891,1039.200000000009
97,2025-12-01 07:47:00+00:00,3.000000000000682,1404.0000000000919,1040.4000000000092
98,2025-12-01 08:11:00+00:00,9.000000000002046,1440.0000000001,1044.00000000001
99,2025-12-01 08:36:00+00:00,-1.0000000000002274,1436.0000000000991,1043.60000000001
100,2025-12-01 08:41:00+00:00,1.0000000000002274,1440.0000000001,1044.00000000001
101,2025-12-01 08:58:00+00:00,-0.0,1440.0000000001,1044.00000000001
102,2025-12-01 09:06:00+00:00,1.0000000000002274,1444.000000000101,1044.40000000001
103,2025-12-01 09:15:00+00:00,-0.0,1444.000000000101,1044.40000000001
104,2025-12-01 09:19:00+00:00,3.000000000000682,1456.0000000001037,1045.6000000000104
105,2025-12-01 09:55:00+00:00,3.000000000000682,1468.0000000001064,1046.8000000000106
106,2025-12-01 10:16:00+00:00,1.0000000000002274,1472.0000000001073,1047.2000000000107
107,2025-12-01 10:27:00+00:00,-0.0,1472.0000000001073,1047.2000000000107
108,2025-12-01 10:40:00+00:00,-1.0000000000002274,1468.0000000001064,1046.8000000000106
109,2025-12-01 10:48:00+00:00,2.0000000000004547,1476.0000000001082,1047.6000000000108
110,2025-12-01 11:05:00+00:00,4.0000000000009095,1492.0000000001119,1049.2000000000112
111,2025-12-01 11:25:00+00:00,1.0000000000002274,1496.0000000001128,1049.6000000000113
112,2025-12-01 11:35:00+00:00,1.0000000000002274,1500.0000000001137,1050.0000000000114
113,2025-12-01 12:01:00+00:00,1.0000000000002274,1504.0000000001146,1050.4000000000115
114,2025-12-01 12:14:00+00:00,6.000000000001364,1528.00000000012,1052.800000000012
